##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	Sample1_0394321_L001_R1_001_fastq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1424257
Sequences flagged as poor quality	0
Sequence length	32-151
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.58490497150444	33.0	32.0	34.0	32.0	34.0
2	32.813822224500214	33.0	32.0	34.0	32.0	34.0
3	32.94178648937657	33.0	32.0	34.0	32.0	35.0
4	32.98001343858587	33.0	32.0	34.0	32.0	35.0
5	32.788310677075835	33.0	32.0	34.0	32.0	35.0
6	35.656453856291385	37.0	35.0	37.0	33.0	37.0
7	35.59840745034077	37.0	35.0	37.0	33.0	37.0
8	35.590963569074965	37.0	35.0	37.0	33.0	37.0
9	35.569695637795704	37.0	35.0	37.0	33.0	37.0
10-14	36.1813275272651	37.4	36.2	37.4	34.2	37.4
15-19	37.00662633218584	38.0	38.0	38.0	36.0	38.0
20-24	37.241570166058516	38.4	38.0	38.4	36.0	38.4
25-29	37.486930799708205	39.0	38.0	39.0	36.0	39.0
30-34	37.436653335749504	39.0	38.0	39.0	35.8	39.0
35-39	37.46361614210395	39.0	38.0	39.0	35.8	39.0
40-44	37.451520231558526	39.0	38.0	39.0	35.8	39.0
45-49	37.42310383979436	39.0	38.0	39.0	36.0	39.0
50-54	37.35010257041186	39.0	38.0	39.0	35.8	39.0
55-59	37.23903467980284	39.0	37.8	39.0	35.2	39.0
60-64	37.197044084129246	39.0	37.8	39.0	34.8	39.0
65-69	37.12474434197854	39.0	37.6	39.0	34.6	39.0
70-74	36.99819121846517	39.0	37.2	39.0	34.0	39.0
75-79	36.96866920619435	39.0	37.0	39.0	33.8	39.0
80-84	37.001664712403894	39.0	37.0	39.0	34.0	39.0
85-89	36.85113574012665	39.0	37.0	39.0	33.4	39.0
90-94	36.79983136367344	39.0	37.0	39.0	33.0	39.0
95-99	36.70672192337562	39.0	37.0	39.0	33.0	39.0
100-104	36.56820464153178	39.0	37.0	39.0	33.0	39.0
105-109	36.46376268748533	38.4	37.0	39.0	33.0	39.0
110-114	36.35209031538154	38.0	37.0	39.0	32.8	39.0
115-119	36.134696561971296	38.0	37.0	39.0	31.6	39.0
120-124	35.93949510244132	38.0	37.0	39.0	30.4	39.0
125-129	35.75908496479571	38.0	37.0	39.0	30.0	39.0
130-134	35.449949507108315	38.0	36.4	39.0	27.8	39.0
135-139	35.19899473459892	38.0	35.8	39.0	25.0	39.0
140-144	35.049738523633096	38.0	35.6	39.0	22.4	39.0
145-149	34.67320396363557	38.0	34.8	39.0	18.2	39.0
150-151	30.08544701888682	28.5	25.5	38.0	16.0	39.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.02240080133309874
1101	2	-0.08429235207319152
1101	3	-0.02681613219943557
1101	4	0.042855968625936214
1101	5	0.1807448778487739
1101	6	0.04607203177356212
1101	7	0.10513801173314619
1101	8	0.05606256137502896
1101	9	0.14580288686138232
1101	10-14	0.07568615508984777
1101	15-19	-0.005182663081185979
1101	20-24	0.01639626703861552
1101	25-29	-0.11166950687943711
1101	30-34	-0.00752290805493061
1101	35-39	-0.14467392921481803
1101	40-44	-0.1250819526318807
1101	45-49	-0.0853330488048556
1101	50-54	-0.040638989584074636
1101	55-59	-0.009962346765952645
1101	60-64	-0.009501537807508953
1101	65-69	0.06850266594863541
1101	70-74	0.09703007198148583
1101	75-79	0.11989823021426105
1101	80-84	0.06135857124142774
1101	85-89	-0.12832826564031308
1101	90-94	-0.03192179744083745
1101	95-99	-0.035204377244035356
1101	100-104	0.12404785717316003
1101	105-109	0.07971795904028767
1101	110-114	0.2599230204822405
1101	115-119	0.252644669167168
1101	120-124	-0.08421106817117874
1101	125-129	0.1784116417209063
1101	130-134	0.14179696232734784
1101	135-139	0.1900600211099288
1101	140-144	0.07922876069137885
1101	145-149	0.14004851218057723
1101	150-151	-0.04337758273826964
1102	1	0.1300164307411933
1102	2	0.07425656114006784
1102	3	0.09281382410547678
1102	4	0.06389742601425752
1102	5	0.0776893269772998
1102	6	-0.2024163748798884
1102	7	0.06582360310839874
1102	8	-0.20873297093062604
1102	9	0.058458225071440495
1102	10-14	-0.0664451109433486
1102	15-19	-0.023310411421860522
1102	20-24	-0.09955890199749007
1102	25-29	-0.5055842613007471
1102	30-34	-0.009520278515033453
1102	35-39	0.19278301164198552
1102	40-44	0.19665110046839374
1102	45-49	0.2623392961696567
1102	50-54	0.3517986459608551
1102	55-59	0.3355643967859905
1102	60-64	0.3000844338209845
1102	65-69	0.3576327015323315
1102	70-74	0.4645020143426777
1102	75-79	0.33353480361270726
1102	80-84	0.04172247174667376
1102	85-89	-0.1730439665878336
1102	90-94	0.1777629909161007
1102	95-99	0.012452457654923421
1102	100-104	-0.0064531296540835115
1102	105-109	0.05270934593290377
1102	110-114	0.1532177181159895
1102	115-119	0.10717428225330394
1102	120-124	-0.3700115848159058
1102	125-129	-0.07515530613765264
1102	130-134	-0.19893434399131138
1102	135-139	-0.06354854051235037
1102	140-144	0.06830320594055195
1102	145-149	0.1406335419776994
1102	150-151	-0.2503780076285729
1103	1	-0.05051947341545571
1103	2	-0.037849264021438955
1103	3	-0.05156339942853094
1103	4	0.08923846338266372
1103	5	0.11186816767999375
1103	6	0.11205698965913058
1103	7	0.18210061962598445
1103	8	0.017106166461687167
1103	9	0.05207387855124068
1103	10-14	0.06709807047622718
1103	15-19	0.07164077029989357
1103	20-24	0.17649035922656253
1103	25-29	0.2656751162696196
1103	30-34	0.10268212027123269
1103	35-39	0.1753432090220457
1103	40-44	0.1975319564275324
1103	45-49	0.03537439072040627
1103	50-54	-0.1493292813971152
1103	55-59	-0.36942201469867086
1103	60-64	-0.46482694331469077
1103	65-69	-0.3844817209297915
1103	70-74	-0.39963433594137854
1103	75-79	-0.4412640849301326
1103	80-84	-0.2372165473783312
1103	85-89	-0.26021430369993936
1103	90-94	0.04469545223933835
1103	95-99	-0.3208047971264065
1103	100-104	-0.3057435384470111
1103	105-109	-0.31858697246084233
1103	110-114	-0.21292377615093017
1103	115-119	-0.3186090174850449
1103	120-124	-0.9614349724165336
1103	125-129	-0.42350906573474845
1103	130-134	-0.46330337389041887
1103	135-139	-0.1091178134515971
1103	140-144	-0.28056861662884813
1103	145-149	-0.0673824677089172
1103	150-151	0.12540605079215794
1104	1	-0.08156583601558509
1104	2	-0.25542919341118164
1104	3	-0.01915144780619471
1104	4	0.036263256925266774
1104	5	-0.060578831319340054
1104	6	-0.004695693861499706
1104	7	0.10759145860926367
1104	8	0.038333636365365464
1104	9	-0.037264647228631986
1104	10-14	0.1174509256891696
1104	15-19	0.10318289181866191
1104	20-24	0.04394034483320297
1104	25-29	-0.04018814839960072
1104	30-34	-0.1356107655269838
1104	35-39	-0.14736372894154215
1104	40-44	-0.04000266995497981
1104	45-49	-0.21042577682366215
1104	50-54	-0.39328181093907233
1104	55-59	-0.4957127832969448
1104	60-64	-0.6717616200718126
1104	65-69	-0.47640082124872407
1104	70-74	-0.4505760127362919
1104	75-79	-0.5460417886968116
1104	80-84	0.03198190352159003
1104	85-89	-0.014820213409826977
1104	90-94	0.04921528842390899
1104	95-99	-0.026255232712493637
1104	100-104	-0.04304639014466005
1104	105-109	0.023669321602596938
1104	110-114	-0.08619049140912693
1104	115-119	-0.39583886533161916
1104	120-124	-0.3552857860507359
1104	125-129	-0.06962799675303444
1104	130-134	-0.1634685125601294
1104	135-139	0.12439870319879986
1104	140-144	-0.2586551256734566
1104	145-149	0.13443423002340893
1104	150-151	-0.0878307442687607
1105	1	-0.04188892792589627
1105	2	-0.0032711873665647317
1105	3	0.07411161420446177
1105	4	0.09618936013501411
1105	5	0.08382853508298638
1105	6	0.09505264739370745
1105	7	0.22545465034493617
1105	8	0.02622359107366634
1105	9	0.008375756635508935
1105	10-14	0.1111233916348695
1105	15-19	0.17070203141153684
1105	20-24	0.12704775252253597
1105	25-29	0.051048556113101995
1105	30-34	-0.11147398848748225
1105	35-39	-0.0948235445928276
1105	40-44	0.11905971976241148
1105	45-49	0.01314346751415485
1105	50-54	-0.1718065608203858
1105	55-59	-0.3532591603626116
1105	60-64	-0.4832664975470067
1105	65-69	-0.4894730292650209
1105	70-74	-0.15163833062511145
1105	75-79	-0.2643549931058615
1105	80-84	0.08185060126636756
1105	85-89	0.06367112476066694
1105	90-94	0.2901717802365482
1105	95-99	0.24766272815168122
1105	100-104	0.1972626116530023
1105	105-109	0.2927919130159182
1105	110-114	0.15994248466991223
1105	115-119	-0.13650969256332957
1105	120-124	0.22843983998230755
1105	125-129	0.22760802272806302
1105	130-134	0.18281316766294964
1105	135-139	0.04132969855576363
1105	140-144	0.16512500244100892
1105	145-149	0.35632253640564926
1105	150-151	-0.07297306554392691
1106	1	0.15406419230485824
1106	2	-0.029085657266627152
1106	3	0.011713773875648315
1106	4	0.05314884678600151
1106	5	0.06449388877442885
1106	6	0.10784646057787484
1106	7	0.10089089427849984
1106	8	0.12493454837840545
1106	9	0.11451297690570073
1106	10-14	0.08719738217011042
1106	15-19	0.01983266581863319
1106	20-24	0.02866111408888372
1106	25-29	-0.14681062416472201
1106	30-34	-0.2634327830479535
1106	35-39	0.07609582968975559
1106	40-44	0.08266350546089285
1106	45-49	-0.07575675092693501
1106	50-54	0.06038275718702124
1106	55-59	0.04827777879584261
1106	60-64	0.08399659909306223
1106	65-69	0.17936155471013393
1106	70-74	0.2625814861021425
1106	75-79	0.15953219503624183
1106	80-84	-0.04093429773738677
1106	85-89	-0.3301562885454743
1106	90-94	-0.009751037222365255
1106	95-99	0.053173634410370596
1106	100-104	0.07266281161415833
1106	105-109	0.08937848141134452
1106	110-114	-0.0910401351158896
1106	115-119	-0.5857376479030023
1106	120-124	-0.12985587514965857
1106	125-129	-0.03733433256507368
1106	130-134	-0.23617136845349052
1106	135-139	-0.2795128897206425
1106	140-144	0.041227914747416605
1106	145-149	0.03961749877768028
1106	150-151	0.011462845603652738
1107	1	0.09980019592103417
1107	2	0.11661818365304555
1107	3	0.11613859301613161
1107	4	0.06083936671064549
1107	5	0.05739283280299645
1107	6	0.11489728783989506
1107	7	0.03332044471114415
1107	8	0.08171144554625442
1107	9	0.027748742640334
1107	10-14	-0.053388027131738625
1107	15-19	-0.10190371173062118
1107	20-24	-0.08177776575153928
1107	25-29	-0.10924708011750539
1107	30-34	0.21472625000110668
1107	35-39	0.16377624395977364
1107	40-44	0.23574500905569096
1107	45-49	0.18331496385821566
1107	50-54	0.21973940316329532
1107	55-59	0.32570783650698587
1107	60-64	0.173154268164339
1107	65-69	0.2511626145583392
1107	70-74	0.2733159338639979
1107	75-79	0.289868755946749
1107	80-84	0.1511544125705413
1107	85-89	0.19286230873748167
1107	90-94	-0.11235261351986736
1107	95-99	0.15421971991553107
1107	100-104	0.15684125175738473
1107	105-109	0.1883022735652844
1107	110-114	0.05554103447856562
1107	115-119	-0.3611077217179357
1107	120-124	0.06971464042674569
1107	125-129	0.1976989937827014
1107	130-134	0.06471180547288213
1107	135-139	-0.5177587002349071
1107	140-144	-0.036943008181410164
1107	145-149	0.05909259539227918
1107	150-151	-0.020852410907011176
1108	1	-0.07054328540253607
1108	2	-0.12556657507595048
1108	3	-0.09902177137998791
1108	4	-0.1176712103607187
1108	5	-0.02825198562724296
1108	6	-0.011723524048839806
1108	7	-0.0205891762674284
1108	8	-0.033682005482553734
1108	9	-0.046617412239989164
1108	10-14	0.036569019084900845
1108	15-19	0.04846709741595134
1108	20-24	0.06297033784818495
1108	25-29	0.07276451105755655
1108	30-34	0.15764746046452416
1108	35-39	-0.14375006010591562
1108	40-44	0.024408288314901938
1108	45-49	-0.03598051420492965
1108	50-54	0.0235436949672021
1108	55-59	0.195493458934898
1108	60-64	0.005992693541500671
1108	65-69	0.23926298021957138
1108	70-74	0.13551086341919216
1108	75-79	0.13887162442395606
1108	80-84	-0.022503599609414948
1108	85-89	-0.10488215871211537
1108	90-94	-0.0033410559228244097
1108	95-99	0.09102147236659164
1108	100-104	0.1925169039364718
1108	105-109	0.058900262585467544
1108	110-114	-0.10348029377616541
1108	115-119	0.13538599291201336
1108	120-124	0.24812305274870994
1108	125-129	0.057617041572548544
1108	130-134	0.1463722224068249
1108	135-139	0.016887565877325983
1108	140-144	-0.08994635820540253
1108	145-149	-0.04094714407740696
1108	150-151	0.04478383614464221
1109	1	0.12441779715006618
1109	2	0.03726955657101172
1109	3	-0.0034062730943773545
1109	4	-0.03764714134002389
1109	5	0.03555533077226869
1109	6	0.08156109673195289
1109	7	-0.06914132291904451
1109	8	0.0216252453544854
1109	9	-0.1913958498445112
1109	10-14	-0.028028735795778914
1109	15-19	-0.11307822856902305
1109	20-24	-0.03374572644457885
1109	25-29	-0.14025752816151282
1109	30-34	0.08921151522927318
1109	35-39	-0.09622125794762582
1109	40-44	-0.1521719896936844
1109	45-49	-0.11513175415485932
1109	50-54	-0.04633741502173194
1109	55-59	-0.026173185820475453
1109	60-64	-0.08631440538711388
1109	65-69	0.11365317343759784
1109	70-74	-0.07323547066008018
1109	75-79	0.10622222739139175
1109	80-84	0.06477160109805169
1109	85-89	0.24577432210207206
1109	90-94	-0.02094882643323359
1109	95-99	0.07685616646140403
1109	100-104	0.11345699098455242
1109	105-109	0.10075914525713614
1109	110-114	0.022276484124049034
1109	115-119	0.1561313007828744
1109	120-124	0.09041724079308011
1109	125-129	-0.1805550822482047
1109	130-134	0.03809467734488692
1109	135-139	-0.05428323113502387
1109	140-144	0.25820771910490947
1109	145-149	0.3766923462401408
1109	150-151	0.2325666717373558
1110	1	0.09899635838953458
1110	2	0.042417685647208714
1110	3	-0.02686523444668154
1110	4	0.08381603892343037
1110	5	-0.11965272416522765
1110	6	-0.02595550913133593
1110	7	-0.024301672985146183
1110	8	-0.11243400835237338
1110	9	-0.1827964405454665
1110	10-14	-0.01445984782577625
1110	15-19	0.08611857504887155
1110	20-24	0.06753633548558469
1110	25-29	-0.025234461043062595
1110	30-34	0.09587820479367082
1110	35-39	-0.09069188774511616
1110	40-44	-0.08729592922876606
1110	45-49	-5.260192406524311E-4
1110	50-54	0.011780713586041713
1110	55-59	0.15685190863413112
1110	60-64	0.07240775178736669
1110	65-69	0.15232803957823648
1110	70-74	-1.5629664248706376E-4
1110	75-79	0.12338437409550096
1110	80-84	-0.06948985448582334
1110	85-89	0.264523807489752
1110	90-94	-0.04930237492608569
1110	95-99	0.040916430877189214
1110	100-104	0.09592024549422007
1110	105-109	-0.0762359879397394
1110	110-114	-0.06784181759189778
1110	115-119	0.010584804801098358
1110	120-124	-0.021131147980916865
1110	125-129	-0.0719813184887883
1110	130-134	0.137078721817403
1110	135-139	0.09327208288552669
1110	140-144	-0.008911790150492038
1110	145-149	0.34677568758634436
1110	150-151	0.21437562626175932
1111	1	0.10592794581521048
1111	2	0.11875704441765578
1111	3	0.10958480232866918
1111	4	0.02991527728227794
1111	5	-0.1356527265140386
1111	6	-0.07110197213389569
1111	7	-0.2549769796907597
1111	8	-0.175318701251868
1111	9	-0.32854452486368757
1111	10-14	-0.029141442582293564
1111	15-19	-0.03180793744819965
1111	20-24	-0.07254597039438693
1111	25-29	-0.08214067584420803
1111	30-34	0.12528647264773696
1111	35-39	0.0637480322732813
1111	40-44	-0.09950725322260467
1111	45-49	0.048971809918157305
1111	50-54	-0.02485514891183982
1111	55-59	0.2112525223534263
1111	60-64	0.15448835576107456
1111	65-69	0.25843268413796494
1111	70-74	0.2711911184950324
1111	75-79	0.17545795208311432
1111	80-84	0.06694958876508394
1111	85-89	0.280863839265443
1111	90-94	0.15475044387927284
1111	95-99	0.16158732747303617
1111	100-104	0.19734416411460387
1111	105-109	0.2953176661602086
1111	110-114	0.2863977407803091
1111	115-119	0.391049218572995
1111	120-124	0.4283215823294171
1111	125-129	0.4681929537374927
1111	130-134	0.5332816542116703
1111	135-139	0.4330831305600711
1111	140-144	0.342124886438981
1111	145-149	0.46500300807126393
1111	150-151	-0.0880891480025845
1112	1	0.12942168592596914
1112	2	0.04048838605697114
1112	3	0.05164521525987453
1112	4	0.017006870257510798
1112	5	0.05308441247742479
1112	6	0.10707718941489475
1112	7	-0.0748013393633542
1112	8	-0.015582446821490237
1112	9	-0.017029311762293275
1112	10-14	-0.030775392184501982
1112	15-19	0.07059241989975362
1112	20-24	-0.030331789756672833
1112	25-29	0.22398598100737388
1112	30-34	0.17119575388617392
1112	35-39	-0.005055587110675219
1112	40-44	-0.16319114931007306
1112	45-49	0.025439500024475592
1112	50-54	0.1439344119836008
1112	55-59	0.333435049170383
1112	60-64	0.370959598025685
1112	65-69	0.17256548259492632
1112	70-74	0.39609346729160677
1112	75-79	0.36428409061658584
1112	80-84	0.1449049763555692
1112	85-89	-0.13633053792734273
1112	90-94	-7.578400789469697E-4
1112	95-99	0.058721060167556516
1112	100-104	0.09054667051719179
1112	105-109	0.09543181211778062
1112	110-114	0.3151232391156995
1112	115-119	0.28228401504460265
1112	120-124	0.27239390908990657
1112	125-129	0.12817079391459885
1112	130-134	0.08518447460723166
1112	135-139	-0.16538301255255305
1112	140-144	0.06303022600451413
1112	145-149	0.376590817242473
1112	150-151	0.5634937297833638
1113	1	0.013987306803244337
1113	2	-0.018565200166520412
1113	3	0.06726581867771131
1113	4	-0.0029401617106259437
1113	5	0.049625423996673135
1113	6	-0.04523540595658915
1113	7	-0.10138098694665842
1113	8	0.04056242545603084
1113	9	-0.03401168946679434
1113	10-14	0.09433571251627626
1113	15-19	0.11439264431829343
1113	20-24	0.12226044147693926
1113	25-29	0.2559534041706826
1113	30-34	0.09966876370580025
1113	35-39	-0.05392478079165386
1113	40-44	-0.18740408108536144
1113	45-49	-0.1218452770475551
1113	50-54	-0.0725270839890868
1113	55-59	-0.16893553980792575
1113	60-64	-0.2033455723836468
1113	65-69	-0.6853571056319154
1113	70-74	-0.43224948882339476
1113	75-79	-0.5258847856458715
1113	80-84	-0.15474493614359375
1113	85-89	-0.3000583420668548
1113	90-94	-0.4357560441481425
1113	95-99	-0.31951848984180486
1113	100-104	-0.32472373781261155
1113	105-109	-0.21096702067240614
1113	110-114	-0.08851399627720724
1113	115-119	-0.18001410550711228
1113	120-124	-0.1349635958162665
1113	125-129	-0.20475642958120233
1113	130-134	-0.4778675676879587
1113	135-139	-0.45474232799328007
1113	140-144	-0.014303934958029174
1113	145-149	-0.32673883381992397
1113	150-151	0.06480526827348498
1114	1	-0.18035787451515262
1114	2	-0.07617902638065743
1114	3	-0.02608641824730995
1114	4	-0.04258148484642987
1114	5	0.03542691894126193
1114	6	-0.05600423873206495
1114	7	-0.03610202889876035
1114	8	0.05730352140187733
1114	9	0.04373186047742195
1114	10-14	0.054096931826840944
1114	15-19	-0.06467713421485399
1114	20-24	-0.07720956424616077
1114	25-29	0.06414545194416377
1114	30-34	0.03310625460004246
1114	35-39	0.05851722590681874
1114	40-44	0.012815749512412822
1114	45-49	0.09966371647556116
1114	50-54	0.0847324600641457
1114	55-59	0.0551956156936555
1114	60-64	-0.03371326957864085
1114	65-69	-0.33284317573399136
1114	70-74	-0.11032044261001062
1114	75-79	-0.1602363987466333
1114	80-84	-0.06743226992408324
1114	85-89	-0.07427685532431383
1114	90-94	-0.2653213116212143
1114	95-99	-0.38142242232019896
1114	100-104	-0.3204963682228339
1114	105-109	-0.06992603367307737
1114	110-114	0.11364810276742077
1114	115-119	0.0037576346670533667
1114	120-124	0.12451924793343494
1114	125-129	0.08502839727583478
1114	130-134	-0.09086986597781532
1114	135-139	-0.18039910537910941
1114	140-144	0.05004049245850695
1114	145-149	-0.16209116579624805
1114	150-151	0.13401537877978242
2101	1	-0.079192201903453
2101	2	0.07479303270741866
2101	3	0.008193383638847251
2101	4	-0.019655430833829257
2101	5	0.023294717722627922
2101	6	0.10706940474392468
2101	7	0.11793649835621522
2101	8	0.07808149545934384
2101	9	0.06041180870191454
2101	10-14	0.04161019782337405
2101	15-19	0.05731854939556058
2101	20-24	0.08119063593422027
2101	25-29	0.08518099641178623
2101	30-34	0.1694229832641696
2101	35-39	0.13284736260965246
2101	40-44	0.03969033826809465
2101	45-49	0.0379779203739119
2101	50-54	0.0634165669316431
2101	55-59	0.16900481422293012
2101	60-64	0.18387742647653482
2101	65-69	0.23484183369500045
2101	70-74	0.11445523654042944
2101	75-79	0.1589155730701819
2101	80-84	0.07745262860560587
2101	85-89	0.21084122611102174
2101	90-94	0.09453402421600998
2101	95-99	0.07894765487274213
2101	100-104	0.23045207048802752
2101	105-109	0.15343221771082227
2101	110-114	0.01661040856536289
2101	115-119	0.18202043911576027
